商品文件名,商品图,折扣,券名,券门槛,优惠券开关,活动时间,到手,价格1,价格2,卖点,规格,展示大尺寸,大尺寸图,展示新旧包装,旧包装图,新旧包装底图,预检异常
TKDT3180-3,TKDT3180-3.png,8,限量券,满129元可用,是,07.09 20:00 - 07.10 23:59,叠券！4件低至：,8,折,悬挂设计 抽取方便,绒立方厨房抽纸2层180抽3提,是,大尺寸：210mm_225mm.png,否,无.png,无.png,
TKT3060,TKT3060.png,8,限量券,满69元可用,是,07.09 20:00 - 07.10 23:59,单件到手：,2大,卷,3层厚韧可水洗,绒立方厨房卷纸3层60节ｘ2卷,否,无.png,否,无.png,无.png,
TKT3060-4,TKT3060-4.png,8,限量券,满69元可用,是,07.02 20:00 - 07.03 23:59,叠券！2件低至：,8,折,12倍立体瞬吸厚韧可水洗,绒立方厨房卷纸3层60节ｘ8卷,否,无.png,否,无.png,无.png,
TKDT3150,TKDT3150.png,8,限量券,满129元可用,是,07.09 20:00 - 07.10 23:59,叠券！4件低至：,8,折,12倍立体瞬吸 悬挂设计,绒立方厨房抽纸2层150抽ｘ4提,否,无.png,否,无.png,无.png,
TKT1085-6,TKT1085-6.png,8,限量券,满129元可用,是,07.09 20:00 - 07.10 23:59,叠券！3件低至：,8,折,12倍立体瞬吸 加大加厚,绒立方厨房卷纸3层85节6卷,是,大尺寸：224mm_257mm 一卷顶3卷.png,否,无.png,无.png,
KT102-8,KT102-8.png,20,限量神券,满200可用,是,07.09 20:00 - 07.10 23:59,单件到手低至：,29,.9,吸油锁水 加大加厚,心相印厨房卷纸双层ｘ75节ｘ8卷,是,大尺寸：225mm_225mm.png,否,无.png,无.png,
KDT170-12,KDT170-12.png,20,限量神券,满200可用,是,07.09 20:00 - 07.10 23:59,单件到手低至：,39,.9,吸油锁水 加大加厚,心相印厨房抽纸2层70抽12包,是,大尺寸：225mm_210mm.png,否,无.png,无.png,
XJA040+P1,XJA040+P1.png,,,,否,06.05 00:00 - 06.21 23:59,单件到手低至：,29,.9,去油除污 即擦即净,心相印厨房湿巾40片3包,是,大尺寸：190mm_270mm.png,否,无.png,无.png,
XJB040+P1,XJB040+P1.png,8,限量券,满69元可用,是,07.09 20:00 - 07.10 23:59,叠券！3件低至：,8,折,去油去污 加倍洁净,心相印厨房湿巾40片3包,是,大尺寸：225mm_270mm.png,否,无.png,无.png,
TKDT1060-4,TKDT1060-4.png,,,,否,06.05 00:00 - 06.21 23:59,单件到手低至：,23,.9,3层厚韧可水洗,绒立方厨房抽纸3层60抽4包,是,尺寸更新新旧尺寸随机发 一包顶3包.png,否,无.png,无.png,
